No.,Team ,Shots Per Game ,Yellow Cards,Red Cards,Possession%,PassSuccess%,AerialsWon,Rating,Top10
10,Newcastle United,12.9,67,2,47.9,76.0,10.9,6.78,Yes
11,Aston Villa,11.5,70,2,45.7,72.2,13.5,6.77,No
12,Everton,13.7,60,2,48.4,76.7,11.8,6.75,No
13,West Bromwich Albion,14.3,47,1,46.7,76.2,10.8,6.73,No
14,Queens Park Rangers,14.2,54,9,46.6,73.8,11.0,6.71,No
15,Bolton,13.0,50,5,47.5,71.1,12.8,6.68,No
16,Norwich,13.5,58,3,47.4,75.4,10.5,6.67,No
17,Wigan,13.7,67,3,49.9,79.9,7.9,6.66,No
18,Stoke,9.9,60,2,43.3,69.1,15.3,6.65,No
19,Blackburn,11.9,66,5,43.8,71.2,9.4,6.63,No
20,Wolverhampton Wanderers,12.4,64,4,48.2,75.6,10.6,6.58,No
1,Chelsea,19.6,59,1,56.0,83.0,12.7,7.05,Yes
2,Manchester United,16.3,56,3,54.6,80.8,12.6,7.03,Yes
3,Arsenal,17.2,65,6,57.7,83.4,13.7,7.02,Yes
4,Manchester City,14.4,71,5,52.6,81.5,12.2,6.98,Yes
5,Tottenham,17.3,51,2,53.4,79.6,16.2,6.98,Yes
6,Liverpool,15.3,63,2,51.5,76.6,13.9,6.9,Yes
7,Fulham,14.4,52,1,50.2,75.5,16.0,6.9,Yes
8,Bolton,15.0,67,5,47.4,66.6,20.9,6.88,Yes
9,Sunderland,14.0,57,5,48.8,71.0,17.8,6.83,Yes
10,Aston Villa,13.3,71,2,49.1,73.4,16.5,6.82,Yes
11,Everton,15.3,55,5,49.9,75.5,14.4,6.81,No
12,Wigan,13.4,67,4,50.6,74.8,12.5,6.8,No
13,Newcastle United,13.3,78,2,49.8,75.4,15.8,6.79,No
14,West Ham,15.1,59,1,46.4,74.9,16.3,6.76,No
15,Stoke,12.7,68,2,42.0,63.4,19.8,6.75,No
16,Blackburn,11.9,65,5,44.0,64.2,15.7,6.74,No
17,Blackpool,14.0,47,2,49.9,75.4,13.5,6.73,No
18,West Bromwich Albion,15.7,52,7,48.7,77.2,11.2,6.7,No
19,Birmingham,10.6,57,3,47.9,70.6,16.9,6.68,No
20,Wolverhampton Wanderers,12.1,62,2,49.6,71.6,14.7,6.65,No
1,Chelsea,21.9,54,5,56.9,82.5,11.6,7.3,Yes
2,Manchester United,18.3,49,4,55.6,79.9,13.2,7.19,Yes
3,Tottenham,17.9,58,1,52.1,76.1,18.2,7.19,Yes
4,Arsenal,17.4,56,1,57.0,80.8,14.4,7.17,Yes
5,Aston Villa,13.1,59,2,48.5,71.8,18.8,7.06,Yes
6,Manchester City,13.8,49,2,52.2,76.0,12.7,7.06,Yes
7,Liverpool,16.9,55,5,55.8,78.5,13.0,7.04,Yes
8,Everton,15.5,57,2,51.2,75.0,16.2,7.0,Yes
9,Birmingham,11.9,74,1,47.7,67.2,16.9,6.91,Yes
10,Sunderland,11.7,77,9,47.3,65.9,18.9,6.89,Yes
11,West Ham,14.4,62,3,49.4,74.9,15.3,6.88,No
12,Fulham,12.2,46,1,49.9,73.8,15.5,6.86,No
13,Bolton,14.7,74,5,45.1,63.7,20.1,6.85,No
14,Stoke,10.6,63,5,43.4,62.2,19.6,6.82,No
15,Wigan,14.6,65,3,51.4,74.3,14.9,6.81,No
16,Blackburn,12.9,57,2,45.9,63.8,21.2,6.8,No
17,Portsmouth,14.0,68,5,48.4,73.6,13.7,6.72,No
18,Wolverhampton Wanderers,11.5,63,4,47.6,67.3,15.0,6.71,No
19,Burnley,12.1,57,2,49.2,68.7,15.2,6.67,No
20,Hull,10.2,64,6,45.4,66.7,16.2,6.64,No
