Team,GF60,GA60,CF%,Sh%,Sv%,OZFO%,DZFO%,NZFO%,PP%,PK%,Playoffs
Calgary,2.42,2.45,51.0,8.55,91.43,33.8,32.3,33.9,16.0,82.3,No
Carolina,2.72,3.02,48.9,9.42,90.24,32.6,32.8,34.5,16.6,80.6,No
Chicago,3.14,2.41,56.3,9.38,90.21,36.4,29.3,34.3,18.0,85.3,Yes
Colorado,2.83,2.74,45.2,10.32,91.32,31.6,33.3,35.1,18.1,80.2,Yes
Columbus,2.56,2.98,47.5,9.12,90.13,31.3,35.1,33.6,17.5,81.7,No
Dallas,2.74,2.92,49.0,9.06,90.5,34.5,31.9,33.6,18.6,77.4,No
Detroit,2.67,2.48,54.6,8.15,91.41,36.8,30.9,32.3,18.9,83.9,Yes
Edmonton,2.49,3.31,44.9,8.97,89.86,31.1,35.7,33.2,16.9,78.0,No
Florida,2.41,2.79,44.8,8.63,91.68,30.8,36.1,33.0,13.9,79.4,No
Los Angeles,2.75,2.52,50.7,9.64,90.66,34.1,32.3,33.6,20.5,80.3,Yes
Minnesota,2.57,2.87,48.7,9.45,90.1,31.5,36.0,32.6,19.1,82.7,No
Montreal,2.51,2.59,47.3,8.96,91.79,31.0,34.6,34.4,21.8,83.0,Yes
Nashville,2.61,2.66,52.0,8.65,90.77,32.0,34.8,33.3,16.4,77.1,Yes
New Jersey,2.61,2.22,51.6,8.84,91.72,35.1,29.1,35.8,18.7,82.8,Yes
NY Islanders,2.56,3.06,48.0,8.54,90.22,32.5,35.8,31.7,16.0,76.3,No
NY Rangers,2.62,2.58,49.5,8.96,91.26,33.0,33.0,33.9,18.3,84.3,No
Ottawa,2.64,2.78,50.4,8.99,90.12,34.7,31.5,33.8,16.9,84.3,Yes
Philadelphia,2.78,2.67,51.4,8.89,90.58,32.8,32.6,34.6,21.8,83.0,Yes
Pittsburgh,2.99,2.81,52.2,9.26,90.03,34.4,30.5,35.1,16.9,84.1,Yes
San Jose,3.05,2.51,51.2,9.77,91.87,32.9,34.0,33.1,20.7,85.0,Yes
St. Louis,2.6,2.6,50.1,8.88,91.23,33.3,34.9,31.9,16.9,86.8,No
Tampa Bay,2.53,3.02,47.9,8.86,90.18,30.8,33.5,35.7,19.3,80.0,No
Toronto,2.52,3.14,52.4,7.87,89.26,34.9,29.7,35.4,13.7,74.7,No
Vancouver,3.24,2.63,51.9,10.6,90.98,33.9,33.8,32.4,21.2,81.6,Yes
Washington,3.74,2.7,52.7,11.6,91.1,33.0,31.6,35.4,25.2,78.8,Yes
Winnipeg,2.77,3.0,48.2,9.55,90.83,30.3,36.8,32.9,16.1,82.2,No
Anaheim,2.78,2.8,44.8,9.92,91.19,32.6,32.6,34.8,23.9,81.3,Yes
Arizona,2.71,2.64,49.1,9.09,91.75,32.1,35.8,32.1,15.9,78.4,Yes
Boston,2.93,2.25,50.7,9.02,93.02,31.7,33.8,34.5,16.2,82.6,Yes
Buffalo,2.88,2.74,50.0,8.93,90.92,34.6,32.0,33.4,19.4,83.0,Yes
Calgary,2.87,2.73,51.5,9.6,90.22,34.7,30.6,34.6,18.9,81.2,No
Carolina,2.81,2.81,49.3,9.29,91.42,33.4,33.0,33.5,15.6,81.3,No
Chicago,3.01,2.64,52.2,9.54,90.65,35.3,30.4,34.3,22.4,79.2,Yes
Colorado,2.66,3.43,46.9,9.24,89.06,32.1,34.3,33.6,18.5,76.1,No
Columbus,2.51,2.99,51.0,8.4,89.78,34.1,32.1,33.8,13.9,80.3,No
Dallas,2.65,2.71,48.6,9.76,90.96,33.6,34.3,32.1,18.3,80.1,No
Detroit,3.08,2.82,53.5,9.32,90.64,34.8,32.8,32.4,22.6,82.3,Yes
Edmonton,2.3,3.13,46.2,8.75,89.98,32.3,33.2,34.5,14.5,76.9,No
Florida,2.27,2.65,49.3,7.59,91.53,32.3,34.6,33.2,13.1,84.6,No
Los Angeles,2.5,2.35,52.0,8.81,91.43,34.3,33.3,32.4,15.8,85.5,Yes
Minnesota,2.43,2.73,45.7,9.41,91.35,30.1,36.9,33.0,17.8,82.8,No
Montreal,2.56,2.45,50.6,8.16,91.99,32.9,33.2,33.9,19.6,84.4,Yes
Nashville,2.56,2.27,49.1,9.02,92.46,32.2,36.0,31.7,14.9,84.9,Yes
New Jersey,2.05,2.47,52.5,7.26,90.44,34.2,30.9,34.9,13.9,83.4,No
NY Islanders,2.67,3.08,46.9,9.27,90.18,31.1,35.7,33.2,16.9,83.2,No
NY Rangers,2.68,2.34,49.3,9.11,91.9,33.7,32.0,34.2,16.9,83.7,Yes
Ottawa,2.27,2.96,48.6,7.91,90.43,33.1,32.2,34.7,17.1,83.7,No
Philadelphia,3.07,2.58,49.7,9.83,91.33,31.8,33.5,34.7,16.6,82.7,Yes
Pittsburgh,2.72,2.33,52.9,8.81,91.7,33.9,31.5,34.6,15.8,86.1,Yes
San Jose,2.92,2.48,54.3,8.58,91.26,34.5,33.3,32.2,23.5,79.6,Yes
St. Louis,2.83,2.74,52.2,9.5,89.98,34.4,31.4,34.2,18.3,81.7,No
Tampa Bay,2.85,2.78,51.1,9.16,90.12,30.2,33.6,36.2,20.5,83.8,Yes
Toronto,2.56,2.92,48.8,9.03,90.42,33.5,33.4,33.1,15.9,77.5,No
Vancouver,3.08,2.17,52.5,9.77,92.7,34.6,33.2,32.2,24.3,85.6,Yes
