#,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Playoffs
26,Utah,82,48.1,35.4,79.2,.447,7.4,21.7,.343,17.0,23.5,.721,15.3,19.3,12.0,31.9,44.0,19.9,7.6,6.0,95.1,No
27,Miami,82,48.1,35.2,77.2,.456,6.8,20.2,.335,17.5,23.7,.741,14.8,20.0,9.1,30.0,39.1,19.8,7.8,4.5,94.7,No
28,Charlotte,82,48.5,35.5,84.5,.420,6.1,19.1,.318,17.0,22.8,.748,11.9,18.2,10.0,34.1,44.1,20.2,6.1,5.5,94.2,No
29,Philadelphia,82,48.3,33.7,82.6,.408,8.4,26.3,.320,16.1,23.8,.676,17.7,21.7,11.9,30.9,42.9,20.5,9.6,5.9,92.0,No
30,New York,82,48.4,35.1,82.0,.428,6.8,19.7,.347,14.8,19.2,.769,14.7,21.6,10.6,29.8,40.4,21.3,7.0,4.7,91.9,No
1,Golden State,82,48.5,42.5,87.3,.487,13.1,31.6,.416,16.7,21.8,.763,15.2,20.7,10.0,36.2,46.2,28.9,8.4,6.1,114.9,Yes
2,Oklahoma City,82,48.4,41.1,86.4,.476,8.3,23.7,.349,19.7,25.2,.782,15.9,20.6,13.1,35.6,48.6,23.0,7.4,5.9,110.2,Yes
3,Sacramento,82,48.3,40.0,86.4,.464,8.0,22.4,.359,18.5,25.5,.725,16.2,20.4,10.6,33.7,44.2,24.5,8.9,4.5,106.6,No
4,Houston,82,48.4,37.7,83.5,.452,10.7,30.9,.347,20.4,29.4,.694,15.9,21.8,11.3,31.7,43.1,22.2,10.0,5.2,106.5,Yes
5,Boston,82,48.2,39.2,89.2,.439,8.7,26.1,.335,18.5,23.5,.788,13.7,21.9,11.6,33.3,44.9,24.2,9.2,4.2,105.7,Yes
6,Portland,82,48.3,38.6,85.9,.450,10.5,28.5,.370,17.4,23.0,.754,14.6,21.7,11.6,33.9,45.5,21.3,6.9,4.6,105.1,Yes
